ADT,EMC Value,'tEMCQual'1,Parameter,NonDetectFlag
0,0.8,'<',"3-beta-Coprostanol, water, unfiltered, recoverable, micrograms per liter",TRUE
-71,0.8,'<',"3-beta-Coprostanol, water, unfiltered, recoverable, micrograms per liter",TRUE
0,0.04,,"3-Methyl-1H-indole, water, unfiltered, recoverable, micrograms per liter",FALSE
0,0.2,'<',"3-Methyl-1H-indole, water, unfiltered, recoverable, micrograms per liter",TRUE
-71,0.2,'<',"3-Methyl-1H-indole, water, unfiltered, recoverable, micrograms per liter",TRUE
0,5,'<',"3-Nitroaniline, water, unfiltered, recoverable, micrograms per liter",TRUE
-122,0.03,'<',"3-Nitroaniline, water, unfiltered, recoverable, micrograms per liter",TRUE
-122,0.02,'<',"3-Nitroaniline, water, unfiltered, recoverable, micrograms per liter",TRUE
0,0.2,'<',"3-tert-Butyl-4-hydroxyanisole, water, unfiltered, recoverable, micrograms per liter",TRUE
-71,0.2,'<',"3-tert-Butyl-4-hydroxyanisole, water, unfiltered, recoverable, micrograms per liter",TRUE
0,10,'<',"3,3'-Dichlorobenzidine, water, unfiltered, recoverable, micrograms per liter",TRUE
0,9.9,'<',"3,3'-Dichlorobenzidine, water, unfiltered, recoverable, micrograms per liter",TRUE
-122,0.44,'<',"3,3'-Dichlorobenzidine, water, unfiltered, recoverable, micrograms per liter",TRUE
-122,0.43,'<',"3,3'-Dichlorobenzidine, water, unfiltered, recoverable, micrograms per liter",TRUE
0,0.05,,"3,4-Dichlorophenyl isocyanate, water, unfiltered, recoverable, micrograms per liter",FALSE
0,0.02,,"3,4-Dichlorophenyl isocyanate, water, unfiltered, recoverable, micrograms per liter",FALSE
0,2,'<',"3,4-Dichlorophenyl isocyanate, water, unfiltered, recoverable, micrograms per liter",TRUE
0,0.2,'<',"3,4-Dichlorophenyl isocyanate, water, unfiltered, recoverable, micrograms per liter",TRUE
-71,2,'<',"3,4-Dichlorophenyl isocyanate, water, unfiltered, recoverable, micrograms per liter",TRUE
0,1,'<',"4-Bromophenyl phenyl ether, water, unfiltered, recoverable, micrograms per liter",TRUE
0,0.99,'<',"4-Bromophenyl phenyl ether, water, unfiltered, recoverable, micrograms per liter",TRUE
-122,0.02,'<',"4-Bromophenyl phenyl ether, water, unfiltered, recoverable, micrograms per liter",TRUE
0,2.5,'<',"4-Chloro-3-methylphenol, water, unfiltered, recoverable, micrograms per liter",TRUE
-122,0.03,'<',"4-Chloro-3-methylphenol, water, unfiltered, recoverable, micrograms per liter",TRUE
0,1,'<',"4-Chloroaniline, water, unfiltered, recoverable, micrograms per liter",TRUE
0,0.99,'<',"4-Chloroaniline, water, unfiltered, recoverable, micrograms per liter",TRUE
-122,0.06,'<',"4-Chloroaniline, water, unfiltered, recoverable, micrograms per liter",TRUE
0,1,'<',"4-Chlorophenyl phenyl ether, water, unfiltered, recoverable, micrograms per liter",TRUE
0,0.99,'<',"4-Chlorophenyl phenyl ether, water, unfiltered, recoverable, micrograms per liter",TRUE
-122,0.02,'<',"4-Chlorophenyl phenyl ether, water, unfiltered, recoverable, micrograms per liter",TRUE
0,0.02,,"4-Cumylphenol, water, unfiltered, recoverable, micrograms per liter",FALSE
0,0.2,'<',"4-Cumylphenol, water, unfiltered, recoverable, micrograms per liter",TRUE
-71,0.2,'<',"4-Cumylphenol, water, unfiltered, recoverable, micrograms per liter",TRUE
0,0.2,'<',"4-n-Octylphenol, water, unfiltered, recoverable, micrograms per liter",TRUE
-71,0.2,'<',"4-n-Octylphenol, water, unfiltered, recoverable, micrograms per liter",TRUE
0,5,'<',"4-Nitroaniline, water, unfiltered, recoverable, micrograms per liter",TRUE
-122,0.02,'<',"4-Nitroaniline, water, unfiltered, recoverable, micrograms per liter",TRUE
-122,0.01,'<',"4-Nitroaniline, water, unfiltered, recoverable, micrograms per liter",TRUE
0,10,'<',"4-Nitrophenol, water, unfiltered, recoverable, micrograms per liter",TRUE
0,9.9,'<',"4-Nitrophenol, water, unfiltered, recoverable, micrograms per liter",TRUE
-122,0.29,'<',"4-Nitrophenol, water, unfiltered, recoverable, micrograms per liter",TRUE
-122,0.28,'<',"4-Nitrophenol, water, unfiltered, recoverable, micrograms per liter",TRUE
0,1.36,,"4-Nonylphenol (all isomers), water, unfiltered, recoverable, micrograms per liter",FALSE
0,1.35,,"4-Nonylphenol (all isomers), water, unfiltered, recoverable, micrograms per liter",FALSE
0,0.57,,"4-Nonylphenol (all isomers), water, unfiltered, recoverable, micrograms per liter",FALSE
0,0.4,,"4-Nonylphenol (all isomers), water, unfiltered, recoverable, micrograms per liter",FALSE
0,0.39,,"4-Nonylphenol (all isomers), water, unfiltered, recoverable, micrograms per liter",FALSE
0,4.33,'<',"4-Nonylphenol (all isomers), water, unfiltered, recoverable, micrograms per liter",TRUE
0,1.6,'<',"4-Nonylphenol (all isomers), water, unfiltered, recoverable, micrograms per liter",TRUE
-71,1.6,'<',"4-Nonylphenol (all isomers), water, unfiltered, recoverable, micrograms per liter",TRUE
0,0.62,,"4-tert-Octylphenol, water, unfiltered, recoverable, micrograms per liter",FALSE
0,0.37,,"4-tert-Octylphenol, water, unfiltered, recoverable, micrograms per liter",FALSE
0,0.35,,"4-tert-Octylphenol, water, unfiltered, recoverable, micrograms per liter",FALSE
0,0.22,,"4-tert-Octylphenol, water, unfiltered, recoverable, micrograms per liter",FALSE
0,0.2,,"4-tert-Octylphenol, water, unfiltered, recoverable, micrograms per liter",FALSE
0,0.19,,"4-tert-Octylphenol, water, unfiltered, recoverable, micrograms per liter",FALSE
0,0.15,,"4-tert-Octylphenol, water, unfiltered, recoverable, micrograms per liter",FALSE
0,0.09,,"4-tert-Octylphenol, water, unfiltered, recoverable, micrograms per liter",FALSE
-71,0.14,,"4-tert-Octylphenol, water, unfiltered, recoverable, micrograms per liter",FALSE
0,0.2,'<',"4-tert-Octylphenol, water, unfiltered, recoverable, micrograms per liter",TRUE
-71,0.2,'<',"4-tert-Octylphenol, water, unfiltered, recoverable, micrograms per liter",TRUE
0,1.57,,"5-Methyl-1H-benzotriazole, water, unfiltered, recoverable, micrograms per liter",FALSE
0,1.5,,"5-Methyl-1H-benzotriazole, water, unfiltered, recoverable, micrograms per liter",FALSE
0,0.58,,"5-Methyl-1H-benzotriazole, water, unfiltered, recoverable, micrograms per liter",FALSE
0,0.49,,"5-Methyl-1H-benzotriazole, water, unfiltered, recoverable, micrograms per liter",FALSE
0,0.4,,"5-Methyl-1H-benzotriazole, water, unfiltered, recoverable, micrograms per liter",FALSE
-71,0.59,,"5-Methyl-1H-benzotriazole, water, unfiltered, recoverable, micrograms per liter",FALSE
0,1.6,'<',"5-Methyl-1H-benzotriazole, water, unfiltered, recoverable, micrograms per liter",TRUE
-71,1.6,'<',"5-Methyl-1H-benzotriazole, water, unfiltered, recoverable, micrograms per liter",TRUE
87168,0.03,,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",FALSE
87168,0.01,,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",FALSE
78500,0.01,,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",FALSE
51000,0.06,,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",FALSE
0,0.9,,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",FALSE
0,0.5,,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",FALSE
0,0.44,,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",FALSE
0,0.3,,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",FALSE
0,0.29,,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",FALSE
0,0.14,,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",FALSE
0,0.13,,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",FALSE
0,0.11,,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",FALSE
0,0.1,,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",FALSE
0,0.09,,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",FALSE
0,0.08,,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",FALSE
0,0.07,,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",FALSE
0,0.06,,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",FALSE
0,0.05,,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",FALSE
0,0.04,,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",FALSE
0,0.03,,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",FALSE
0,0.02,,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",FALSE
0,0.01,,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",FALSE
0,0.0091,,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",FALSE
0,0.0072,,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",FALSE
0,0.0055,,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",FALSE
-70,0.06,,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",FALSE
-70,0.04,,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",FALSE
-70,0.01,,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",FALSE
-71,0.06,,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",FALSE
-71,0.05,,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",FALSE
-71,0.04,,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",FALSE
-71,0.03,,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",FALSE
-71,0.02,,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",FALSE
-71,0.01,,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",FALSE
-71,0.0073,,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",FALSE
-71,0.0057,,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",FALSE
-122,0.36,,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",FALSE
-122,0.06,,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",FALSE
-122,0.05,,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",FALSE
-122,0.02,,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",FALSE
87168,0.01,'<',"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",TRUE
87168,0.0019,'<',"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",TRUE
87168,0.0011,'<',"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",TRUE
87168,0.001,'<',"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",TRUE
78500,0.1,'<',"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",TRUE
78500,0.01,'<',"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",TRUE
78500,0.0098,'<',"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",TRUE
51000,0.05,'<',"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",TRUE
48000,0.05,'<',"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",TRUE
47000,0.05,'<',"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",TRUE
16500,0.1,'<',"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",TRUE
16500,0.01,'<',"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",TRUE
16500,0.0011,'<',"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",TRUE
16500,0.001,'<',"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",TRUE
0,80,'<',"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",TRUE
0,40,'<',"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",TRUE
0,2,'<',"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",TRUE
0,0.5,'<',"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",TRUE
0,0.38,'<',"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",TRUE
0,0.33,'<',"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",TRUE
0,0.2,'<',"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",TRUE
0,0.1,'<',"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",TRUE
0,0.09,'<',"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",TRUE
0,0.01,'<',"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",TRUE
0,0.0099,'<',"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",TRUE
0,0.0039,'<',"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",TRUE
0,0.0038,'<',"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",TRUE
-70,33,'<',"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",TRUE
