Parameter ID (tdsUSEPAParameterCodes.txt),S Adt,S Avg Annual Precip,S EMC Value,Site ID,T Data Qualifier,T EMC Qual,T Parameter Name,T Pcode,NonDetectFlag
348,3000,38.9,8,119,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,154500,37.6,963,118,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,154500,37.6,847,118,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,154500,37.6,509,118,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,154500,37.6,462,118,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,154500,37.6,339,118,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,154500,37.6,312,118,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,154500,37.6,228,118,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,154500,37.6,122,118,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,154500,37.6,114,118,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,154500,37.6,110,118,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,154500,37.6,108,118,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,154500,37.6,101,118,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,154500,37.6,83.3,118,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,154500,37.6,79.4,118,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,154500,37.6,51,118,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,154500,37.6,41,118,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,154500,37.6,37.5,118,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,154500,37.6,35,118,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,81900,44.2,758,117,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,81900,44.2,687,117,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,81900,44.2,580,117,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,81900,44.2,339,117,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,81900,44.2,293,117,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,81900,44.2,242,117,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,81900,44.2,213,117,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,81900,44.2,211,117,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,81900,44.2,175,117,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,81900,44.2,131,117,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,81900,44.2,96.7,117,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,81900,44.2,90,117,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,81900,44.2,78.2,117,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,81900,44.2,69,117,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,81900,44.2,51.9,117,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,81900,44.2,44.6,117,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,81900,44.2,42.6,117,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,39693,44.3,1130,116,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,39693,44.3,1100,116,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,39693,44.3,926,116,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,39693,44.3,833,116,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,39693,44.3,647,116,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,39693,44.3,420,116,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,39693,44.3,402,116,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,39693,44.3,382,116,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,39693,44.3,350,116,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,39693,44.3,266,116,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,39693,44.3,237,116,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,39693,44.3,195,116,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,39693,44.3,194,116,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,39693,44.3,182,116,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,39693,44.3,166,116,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,39693,44.3,131,116,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,39693,44.3,128,116,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,39693,44.3,119,116,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,3000,37.6,293,115,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
