SITE_ID,YEAR,WEEK,DATEON,DATEOFF,SO2_CONC,SO4_CONC,NO3_CONC,HNO3_CONC,TNO3_CONC,NH4_CONC,CA_CONC,NA_CONC,MG_CONC,K_CONC,CL_CONC
MOR409,2011,24,2011/06/14,2011/06/21,,0.486,0.158,0.085,0.242,0.14,0.014,0.139,0.019,0.041,0.084
MOR409,2011,25,2011/06/21,2011/06/28,0.098,0.627,0.109,0.141,0.248,0.216,0.015,0.07,0.011,0.039,0.016
MOR409,2011,26,2011/06/28,2011/07/05,0.134,0.617,0.151,0.198,0.346,0.174,0.015,0.042,0.018,0.137,0.017
MOR409,2012,23,2012/06/05,2012/06/12,0.07,0.484,0.207,0.054,0.26,0.147,0.017,0.22,0.028,0.041,0.176
MOR409,2012,24,2012/06/12,2012/06/19,0.065,0.377,0.117,0.063,0.179,0.103,0.013,0.151,0.02,0.044,0.128
MOR409,2012,25,2012/06/19,2012/06/26,0.084,0.376,0.063,0.148,0.209,0.14,0.014,0.022,0.006,0.048,0.018
MOR409,2012,26,2012/06/26,2012/07/03,0.072,0.514,0.069,0.098,0.165,0.175,0.012,0.046,0.009,0.047,0.016
MOR409,2013,23,2013/06/04,2013/06/11,0.189,0.728,0.416,0.304,0.715,0.193,0.037,0.265,0.035,0.042,0.104
MOR409,2013,24,2013/06/11,2013/06/18,0.128,0.404,0.066,0.084,0.149,0.124,0.014,0.05,0.009,0.041,0.016
MOR409,2013,25,2013/06/18,2013/06/25,0.09,0.263,0.052,0.048,0.099,0.085,0.011,0.041,0.008,0.05,0.027
MOR409,2013,26,2013/06/25,2013/07/02,0.154,0.403,0.082,0.174,0.253,0.134,0.015,0.039,0.009,0.057,0.016
MOR409,2009,28,2009/07/07,2009/07/14,0.182,0.89,0.043,0.31,0.348,0.31,0.03,0.048,0.013,0.03,0.016
MOR409,2009,29,2009/07/14,2009/07/21,0.245,0.844,0.076,0.509,0.577,0.281,0.042,0.056,0.014,0.092,0.018
MOR409,2009,30,2009/07/21,2009/07/28,0.245,0.876,0.069,0.555,0.615,0.25,0.045,0.077,0.016,0.171,0.015
MOR409,2009,31,2009/07/28,2009/08/04,0.265,0.774,0.076,0.454,0.522,0.216,0.056,0.117,0.025,0.081,0.016
MOR409,2010,28,2010/07/06,2010/07/13,0.24,0.645,0.144,0.401,0.538,0.156,0.049,0.21,0.032,0.043,0.154
MOR409,2010,29,2010/07/13,2010/07/20,0.2,1.222,0.327,0.603,0.921,0.203,0.045,0.347,0.047,0.056,0.02
MOR409,2010,30,2010/07/20,2010/07/27,0.281,1.179,0.129,0.733,0.85,0.223,0.049,0.219,0.034,0.05,0.015
MOR409,2010,31,2010/07/27,2010/08/03,0.181,0.987,0.046,0.517,0.555,0.311,0.037,0.082,0.016,0.042,0.018
MOR409,2011,27,2011/07/05,2011/07/12,0.181,0.672,0.263,0.27,0.528,0.204,0.035,0.163,0.026,0.053,0.045
MOR409,2011,28,2011/07/12,2011/07/19,0.069,0.383,0.055,0.066,0.119,0.135,0.009,0.018,0.006,0.045,0.017
MOR409,2011,29,2011/07/19,2011/07/26,0.089,0.723,0.111,0.191,0.299,0.191,0.018,0.124,0.018,0.046,0.016
MOR409,2011,30,2011/07/26,2011/08/02,0.159,0.993,0.048,0.406,0.448,0.312,0.032,0.057,0.011,0.036,0.016
MOR409,2012,27,2012/07/03,2012/07/10,0.258,1.336,0.09,0.592,0.673,0.276,0.03,0.141,0.036,0.224,0.016
MOR409,2012,28,2012/07/10,2012/07/17,0.132,1.046,0.067,0.529,0.588,0.26,0.033,0.133,0.021,0.057,0.017
MOR409,2012,29,2012/07/17,2012/07/24,0.07,0.598,0.099,0.256,0.351,0.163,0.021,0.112,0.017,0.046,0.018
MOR409,2012,30,2012/07/24,2012/07/31,0.118,0.668,0.046,0.316,0.357,0.24,0.023,0.028,0.007,0.038,0.016
MOR409,2012,31,2012/07/31,2012/08/07,0.193,0.893,0.045,0.507,0.544,0.274,0.042,0.052,0.013,0.07,0.016
MOR409,2013,27,2013/07/02,2013/07/09,0.19,1.195,0.359,0.476,0.828,0.164,0.041,0.392,0.056,0.108,0.016
MOR409,2013,28,2013/07/09,2013/07/16,,,,,,,,,,,
MOR409,2013,29,2013/07/16,2013/07/23,0.167,1.099,0.05,0.557,0.598,0.283,0.037,0.134,0.021,0.052,0.017
MOR409,2013,30,2013/07/23,2013/07/30,0.31,1.108,0.129,0.573,0.692,0.225,0.044,0.244,0.033,0.036,0.016
MOR409,2013,31,2013/07/30,2013/08/06,,,,,,,,,,,
MOR409,2009,32,2009/08/04,2009/08/11,0.11,1.108,0.093,0.451,0.537,0.245,0.036,0.242,0.034,0.094,0.016
MOR409,2009,33,2009/08/11,2009/08/18,0.145,1.135,0.09,0.286,0.371,0.341,0.021,0.149,0.022,0.051,0.017
MOR409,2009,34,2009/08/18,2009/08/25,0.121,1.279,0.074,0.468,0.535,0.333,0.03,0.142,0.023,0.042,0.014
MOR409,2009,35,2009/08/25,2009/09/01,0.19,0.957,0.066,0.384,0.444,0.287,0.03,0.073,0.015,0.038,0.018
MOR409,2010,32,2010/08/03,2010/08/10,0.174,0.957,0.029,0.369,0.392,0.316,0.037,0.029,0.011,0.064,0.016
MOR409,2010,33,2010/08/10,2010/08/17,0.327,0.77,0.051,0.447,0.491,0.249,0.052,0.043,0.015,0.069,0.016
